lot_shape,bsmt_cond,heating_qc,kitchen_qual,garage_qual,garage_cond
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,4.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,1.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,0.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,0.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,1.0,1.0,1.0,1.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,1.0,2.0,2.0,2.0
1.0,4.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,1.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,1.0,1.0,2.0,2.0
2.0,4.0,4.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,1.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,2.0,2.0,1.0,1.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
2.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,3.0,3.0,1.0,1.0
0.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,1.0,0.0,1.0,1.0
1.0,3.0,1.0,0.0,1.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,1.0,1.0
1.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,4.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
3.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,0.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,5.0,4.0,3.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,0.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,2.0,2.0,2.0
1.0,4.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,1.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,4.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,1.0,4.0,2.0,2.0,2.0
0.0,2.0,2.0,1.0,2.0,2.0
0.0,0.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,4.0,4.0,2.0,2.0,2.0
1.0,3.0,1.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,1.0,0.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,1.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,4.0,4.0,3.0,2.0,2.0
1.0,4.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,2.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,2.0,3.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
0.0,2.0,4.0,0.0,1.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,2.0,4.0,0.0,1.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,4.0,4.0,3.0,2.0,2.0
1.0,2.0,4.0,1.0,2.0,2.0
0.0,3.0,1.0,1.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,4.0,3.0,2.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,3.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,0.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,2.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,0.0,2.0,2.0
1.0,4.0,3.0,2.0,3.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,0.0,4.0,1.0,2.0,1.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,1.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,1.0,1.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
1.0,2.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,4.0,4.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,1.0,0.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,0.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,2.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,1.0,1.0,1.0,1.0
1.0,3.0,3.0,2.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
0.0,2.0,1.0,1.0,1.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
1.0,4.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,2.0,1.0,1.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,2.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
1.0,4.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,0.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,3.0,0.0,2.0,1.0
2.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,1.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,2.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,2.0,2.0,0.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,4.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,0.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,4.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,1.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,4.0,2.0,1.0,2.0,3.0
0.0,3.0,4.0,1.0,4.0,4.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,1.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,2.0,2.0,0.0,2.0,2.0
0.0,4.0,4.0,1.0,1.0,2.0
2.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,3.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,0.0,1.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,2.0,1.0,1.0,1.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,4.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,1.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,4.0,4.0,2.0,1.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
1.0,2.0,3.0,2.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,0.0,4.0,1.0,2.0,2.0
3.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,3.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,3.0,1.0,1.0,2.0
0.0,3.0,2.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,1.0,2.0,2.0
0.0,3.0,4.0,1.0,2.0,2.0
0.0,3.0,4.0,3.0,2.0,2.0
0.0,0.0,2.0,1.0,2.0,2.0
0.0,3.0,3.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
0.0,3.0,2.0,1.0,2.0,2.0
0.0,3.0,4.0,2.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0
1.0,3.0,4.0,2.0,2.0,2.0
